Duration (in seconds),What is your age (# years)?,What is your gender? - Selected Choice,In which country do you currently reside?,"Are you currently a student? (high school, university, or graduate)","What products or platforms did you find to be most helpful when you first started studying data science?  (Select all that apply) - Selected Choice - Online courses (Coursera, EdX, etc)","What products or platforms did you find to be most helpful when you first started studying data science?  (Select all that apply) - Selected Choice - Video platforms (YouTube, Twitch, etc)","What products or platforms did you find to be most helpful when you first started studying data science?  (Select all that apply) - Selected Choice - Kaggle (notebooks, competitions, etc)",What is the highest level of formal education that you have attained or plan to attain within the next 2 years?,"Have you ever published any academic research (papers, preprints, conference proceedings, etc)?",For how many years have you been writing code and/or programming?,What programming languages do you use on a regular basis? (Select all that apply) - Selected Choice - Python,Which of the following integrated development environments (IDE's) do you use on a regular basis?  (Select all that apply) - Selected Choice -  Jupyter Notebook,Do you use any of the following data visualization libraries on a regular basis?  (Select all that apply) - Selected Choice -  Matplotlib ,For how many years have you used machine learning methods?
121,3,0,20,0,1,0,1,7,1,7,1,1,1,9
462,3,0,0,0,1,0,0,3,2,0,1,1,0,8
293,0,0,13,1,0,1,0,0,1,0,0,0,0,0
851,8,0,15,0,0,0,0,6,1,1,0,0,0,0
232,6,0,20,1,1,0,1,0,1,4,0,1,1,7
277,0,4,20,1,0,0,1,3,0,0,0,0,0,0
1550,0,0,20,1,1,1,0,6,1,0,0,0,0,8
501,3,0,16,0,0,1,1,0,1,1,0,0,0,5
787,10,0,2,0,1,0,0,1,2,2,0,0,1,6
222,1,0,34,1,0,0,0,0,1,3,0,0,0,4
470,8,0,45,0,1,0,0,3,0,0,0,0,0,0
369,8,0,13,1,1,1,1,3,2,3,0,0,1,4
7548,4,0,20,0,0,0,1,3,0,0,1,1,1,9
1132,5,0,55,0,0,0,0,1,2,1,0,0,1,6
414,4,0,35,1,1,1,1,3,0,5,0,0,0,0
171,1,0,29,1,1,0,1,0,1,0,0,0,1,7
679,5,0,55,0,1,0,0,3,2,1,0,1,0,6
10619,3,0,55,0,0,1,0,3,2,4,0,0,0,2
587,7,0,43,0,0,0,0,1,2,3,0,1,1,5
676,2,0,25,0,1,1,0,3,2,4,0,1,0,2
542,3,0,48,0,1,1,1,2,1,5,0,1,0,8
174,2,4,9,1,0,1,1,3,0,5,0,0,1,9
260,4,4,20,0,1,0,0,3,2,3,0,0,0,7
323,2,0,1,1,0,1,1,3,2,0,0,0,0,2
404,4,0,51,0,0,1,0,3,2,5,0,0,0,8
2481,2,0,5,0,0,1,0,3,0,3,0,0,0,2
301,0,0,33,1,0,0,0,3,0,0,0,0,0,8
772,9,4,1,0,0,0,1,3,2,0,1,1,1,8
433,6,0,55,1,0,0,0,3,0,3,0,0,0,0
1481,4,0,8,0,1,0,1,0,1,4,0,0,0,5
815,1,2,43,1,1,0,0,3,2,3,0,0,0,0
261,5,0,34,0,0,1,1,3,2,1,1,1,1,9
623,3,0,34,0,0,1,0,3,0,3,0,1,0,4
489,4,0,25,0,0,0,1,1,2,1,0,1,1,1
249,0,0,20,1,0,1,0,0,1,3,0,0,0,0
506,2,0,26,0,0,0,1,3,0,3,0,0,1,2
343,5,0,20,0,0,1,0,3,2,4,0,0,0,8
301,3,0,29,1,0,1,1,6,1,5,1,1,1,7
298,2,0,20,1,1,1,1,2,1,5,0,0,0,0
333,3,0,20,1,0,0,1,5,2,1,0,0,0,5
369,1,4,7,0,0,1,0,3,0,4,0,0,0,0
14658,7,0,21,0,0,1,0,1,2,4,0,0,0,8
429,5,0,20,0,0,1,0,2,1,1,0,1,0,2
1162,1,0,20,0,0,0,1,0,1,3,0,1,0,8
223,4,4,24,1,0,0,0,6,1,3,0,0,0,8
1103,5,0,10,0,0,1,0,3,2,0,0,0,0,0
349,1,0,20,1,1,1,1,3,0,6,1,1,1,9
166,0,0,20,1,1,1,1,3,0,0,0,0,0,7
645,4,0,15,0,0,0,0,1,2,4,0,1,0,5
548,6,0,5,1,0,0,1,0,1,5,0,0,1,8
